variant,lgbm,xgb,cat,mean,worst,recent,2016_may_aug,2016_sep_dec,2017_jan_apr
drop_start_week,3,0,2,0.9170783150221222,0.915439483761093,0.915439483761093,0.9187609219733249,0.9170345393319489,0.915439483761093
drop_start_week,3,0,3,0.9173413487591308,0.9153246369854415,0.9153246369854415,0.9196687139567989,0.9170306953351515,0.9153246369854415
drop_start_week,3,0,4,0.9173631852772344,0.9151140265064481,0.9151140265064481,0.9201368818075125,0.9168386475177424,0.9151140265064481
drop_start_week,3,1,0,0.9157283300308073,0.9151648086822043,0.9151648086822043,0.9155699187327597,0.9164502626774579,0.9151648086822043
drop_start_week,3,1,1,0.9172308413282572,0.9158073932789783,0.9158073932789783,0.9181937891413549,0.9176913415644381,0.9158073932789783
drop_start_week,3,1,2,0.9177992465921804,0.9158858307642874,0.9158858307642874,0.9195053162754181,0.9180065927368354,0.9158858307642874
drop_start_week,3,1,3,0.9179675176496547,0.9157509770533022,0.9157509770533022,0.9202073666661776,0.917944209229484,0.9157509770533022
drop_start_week,3,1,4,0.9179773623633994,0.9155897402375848,0.9155897402375848,0.9206010007535625,0.9177413460990512,0.9155897402375848
drop_start_week,3,2,0,0.9165092825471665,0.9155620697827365,0.9155620697827365,0.9167681401316153,0.9171976377271476,0.9155620697827365
drop_start_week,3,2,1,0.9176290088638077,0.9160098101531153,0.9160098101531153,0.9187504499371807,0.9181267665011272,0.9160098101531153
drop_start_week,3,2,2,0.9181097743940659,0.9160903225439055,0.9160903225439055,0.9198192759744441,0.9184197246638479,0.9160903225439055
drop_start_week,3,2,3,0.9182918665042988,0.9160037217443309,0.9160037217443309,0.9204562577114676,0.9184156200570979,0.9160037217443309
drop_start_week,3,2,4,0.9182985324008265,0.9158323678712307,0.9158323678712307,0.920819970181407,0.9182432591498417,0.9158323678712307
drop_start_week,3,3,0,0.9168433845195549,0.9157142951476411,0.9157142951476411,0.9173769067267188,0.9174389516843047,0.9157142951476411
drop_start_week,3,3,1,0.9178011578771267,0.9160898530397454,0.9160898530397454,0.9190009414657272,0.9183126791259073,0.9160898530397454
drop_start_week,3,3,2,0.9182383223262235,0.916174909019181,0.916174909019181,0.9199470602535521,0.9185929977059374,0.916174909019181
drop_start_week,3,3,3,0.9184342942741047,0.9161251264329267,0.9161251264329267,0.9205419100637795,0.9186358463256081,0.9161251264329267
drop_start_week,3,3,4,0.9184845027951658,0.9160057966498121,0.9160057966498121,0.92091238484046,0.9185353268952251,0.9160057966498121
drop_start_week,3,4,0,0.9169948056615187,0.9157747248766204,0.9157747248766204,0.9177340052790933,0.9174756868288426,0.9157747248766204
